Property Name,Area,City,furnishing,bathroom,tenent-preffered,status,carpet-area,super-area,floor,facing,overlooking,Total Price,balcony,society,dimensions,owner-resides,plot-area,ownership,transaction,parking
"3 BHK House for Rent in Horamavu, Bangalore",Horamavu,Bangalore,Semi-Furnished,3,Bachelors,Immediately,0,2400 sqft,0,South -West,0,"75,000",4,0,0,0,0,0,0,0
"1 BHK House for Rent in Thambu Chetty Palya, Bangalore",Thambu Chetty Palya,Bangalore,Semi-Furnished,2,Bachelors/Family,Immediately,0,700 sqft,1 out of 4,0,0,"16,000",0,0,0,0,0,0,0,0
"1 BHK House for Rent in Uttarahalli Main Road, Bangalore",Uttarahalli Main Road,Bangalore,Unfurnished,1,Bachelors,Immediately,200 sqft,0,3 out of 4,East,0,"4,500",0,0,30 X 40 ft Sqft,0,0,0,0,0
"3 BHK House for Rent in Koramangala, Bangalore",Koramangala,Bangalore,Semi-Furnished,3,Bachelors/Family,Immediately,2700 sqft,0,1 out of 2,0,0,1 Lac,3,0,0,0,0,0,0,0
"3 BHK House for Rent in Sri Venkateshwara Layout Munnekollal, Bangalore",Sri Venkateshwara Layout Munnekollal,Bangalore,Semi-Furnished,3,Bachelors/Family,From Apr '25,1000 sqft,0,1 out of 4,West,0,"32,000",1,0,0,0,0,0,0,0
"1 BHK House for Rent in Hulimavu, Bangalore",Hulimavu,Bangalore,Unfurnished,1,Bachelors/Family,Immediately,0,500 sqft,2 out of 2,0,0,"12,500",0,0,0,0,0,0,0,0
"3 BHK House for Rent in Basavanagudi, Bangalore",Basavanagudi,Bangalore,Semi-Furnished,4,Bachelors/Family,Immediately,2800 sqft,0,Ground out of 2,East,Main Road,1.5 Lac,1,0,0,0,0,0,0,0
"2 BHK House for Rent in Whitefield, Bangalore",Whitefield,Bangalore,Semi-Furnished,2,Bachelors/Family,From May '25,650 sqft,0,1 out of 3,0,0,"30,000",1,0,0,0,0,0,0,0
"2 BHK House for Rent in Jigani, Bangalore",Jigani,Bangalore,Unfurnished,2,Bachelors,Immediately,1000 sqft,0,1 out of 3,East,"Garden/Park, Main Road","16,500",1,0,0,0,0,0,0,0
"2 BHK House for Rent in Jayanagar, Bangalore",Jayanagar,Bangalore,Unfurnished,2,Bachelors/Family,Immediately,0,800 sqft,0,0,0,"12,000",0,0,0,0,0,0,0,0
"3 BHK House for Rent in HAL Old Airport Road, Bangalore",HAL Old Airport Road,Bangalore,Semi-Furnished,3,Bachelors,Immediately,1500 sqft,0,0,0,"Garden/Park, Main Road","36,000",1,0,0,0,0,0,0,0
"6 BHK House for Rent in Yelahanka, Bangalore",Yelahanka,Bangalore,Semi-Furnished,7,Bachelors,Immediately,0,4105 sqft,0,East,"Garden/Park, Pool",3.6 Lac,0,0,0,0,0,0,0,0
"2 BHK House for Rent in Sarjapur Road, Bangalore",Sarjapur Road,Bangalore,Semi-Furnished,2,Bachelors/Family,Immediately,0,1500 sqft,2 out of 3,0,0,"22,000",0,0,0,0,0,0,0,0
"1 BHK House for Rent in Kengeri, Bangalore",Kengeri,Bangalore,Furnished,1,Bachelors/Family,Immediately,0,1200 sqft,1 out of 1,0,0,"6,500",0,0,0,0,0,0,0,0
"1 BHK House for Rent in Reliable Woods Layout, Bangalore",Reliable Woods Layout,Bangalore,Semi-Furnished,1,Bachelors/Family,Immediately,0,700 sqft,0,0,0,"11,000",1,0,0,0,0,0,0,0
2 BHK House for Rent in Bangalore,NA,Bangalore,Semi-Furnished,2,Bachelors/Family,Immediately,500 sqft,0,0,0,0,"9,750",0,0,0,0,0,0,0,0
"2 BHK House for Rent in Indiranagar, Bangalore",Indiranagar,Bangalore,Furnished,3,Bachelors/Family,Immediately,1750 sqft,0,0,North,"Garden/Park, Main Road","75,000",2,0,0,0,0,0,0,0
"2 BHK House for Rent in Hosakerehalli, Bangalore",Hosakerehalli,Bangalore,Semi-Furnished,1,Bachelors/Family,Immediately,0,550 sqft,2 out of 3,0,0,"12,000",0,0,0,0,0,0,0,0
"4 BHK House for Rent in Sarjapura Attibele Road, Bangalore",Sarjapura Attibele Road,Bangalore,Semi-Furnished,4,Bachelors/Family,From Apr '25,2800 sqft,0,0,0,Garden/Park,"34,000",1,0,0,0,0,0,0,0
"2 BHK House for Rent in Attibele, Bangalore",Attibele,Bangalore,Semi-Furnished,2,Bachelors/Family,Immediately,1500 sqft,0,0,West,0,"14,000",1,0,50 X 30 ft Sqft,0,0,0,0,0
"2 BHK House for Rent in Kalkere, Bangalore",Kalkere,Bangalore,Semi-Furnished,2,Bachelors/Family,Immediately,750 sqft,0,3 out of 4,North - East,0,"20,000",1,0,0,0,0,0,0,0
"2 BHK House for Rent in Doddagubbi Main Road, Bangalore",Doddagubbi Main Road,Bangalore,Semi-Furnished,2,Bachelors,Immediately,740 sqft,0,2 out of 3,North - East,0,"19,000",0,0,0,0,0,0,0,0
"1 BHK House for Rent in Margondanahalli, Bangalore",Margondanahalli,Bangalore,Semi-Furnished,1,Bachelors/Family,Immediately,0,600 sqft,0,0,0,"7,000",0,0,0,0,0,0,0,0
"2 BHK House for Rent in Hosakerehalli, Bangalore",Hosakerehalli,Bangalore,Semi-Furnished,1,Bachelors/Family,Immediately,0,850 sqft,0,0,0,"15,000",0,0,0,0,0,Freehold,0,0
"1 BHK House for Rent in Phase 2 Electronic City, Bangalore",Phase 2 Electronic City,Bangalore,Furnished,1,Bachelors/Family,Immediately,0,300 sqft,1 out of 4,0,0,"7,500",0,0,0,0,0,0,0,0
"2 BHK House for Rent in Stage 1 Kengeri Satellite Town, Bangalore",Stage 1 Kengeri Satellite Town,Bangalore,Semi-Furnished,3,Bachelors/Family,Immediately,1500 sqft,0,0,South -West,"Garden/Park, Main Road","30,000",0,0,0,0,0,0,0,0
"2 BHK House for Rent in Hosa Road, off Hosur Road, Bangalore",Hosa Road,Bangalore,Unfurnished,1,Bachelors/Family,Immediately,0,600 sqft,Upper Basement out of 2,East,"Garden/Park, Pool","6,000",0,0,0,0,0,0,0,0
"5 BHK House for Rent in Ecc Road, Whitefield, Bangalore",Ecc Road,Bangalore,Furnished,6,Bachelors/Family,Immediately,0,4144 sqft,0,South,Garden/Park,1.3 Lac,5,0,0,0,0,0,0,0
"4 BHK House for Rent in Stage 2nd Banashankari, Bangalore",Stage 2nd Banashankari,Bangalore,Unfurnished,4,Bachelors,Immediately,1200 sqft,0,1 out of 1,North,0,"42,000",1,0,0,0,0,0,0,0
"1 BHK House for Rent in Kudlu, Bangalore",Kudlu,Bangalore,Semi-Furnished,1,Bachelors,Immediately,900 sqft,0,2 out of 3,North - East,0,"8,000",0,0,0,0,0,0,0,0
"2 BHK House for Rent in Lingarajapuram, Lingarajapuram, Hennur Main Road, Bangalore",Lingarajapuram,Bangalore,Unfurnished,2,Bachelors/Family,Immediately,1200 sqft,0,0,South - East,Main Road,Call for Price,0,0,0,0,0,0,0,0
"3 BHK House for Rent in Hrbr Layout, Kalyan Nagar, Outer Ring Road, Bangalore",Hrbr Layout,Bangalore,Unfurnished,3,Bachelors,Immediately,1200 sqft,0,0,North,Garden/Park,"68,000",2,0,40 X 30 ft Sqft,0,0,0,0,0
1 BHK House for Rent in Bangalore,NA,Bangalore,Semi-Furnished,1,Bachelors/Family,Immediately,0,650 sqft,0,0,0,"13,000",0,0,0,0,0,0,0,0
"1 BHK House for Rent in Whitefield, Bangalore",Whitefield,Bangalore,Unfurnished,1,Bachelors,Immediately,0,800 sqft,2 out of 4,North - East,0,"11,000",1,0,0,0,0,0,0,0
"4 BHK House for Rent in A Block AECS Layout, Bangalore",A Block AECS Layout,Bangalore,Unfurnished,4,Bachelors/Family,Immediately,0,2400 sqft,Ground out of 4,0,0,1.6 Lac,0,0,0,0,0,0,0,0
"2 BHK House for Rent in Kalyan Nagar, Bangalore",Kalyan Nagar,Bangalore,Semi-Furnished,2,Bachelors,Immediately,1200 sqft,0,0,North - East,Main Road,"26,000",1,0,30 X 45 ft Sqft,0,0,0,0,0
"2 BHK House for Rent in Kammanahalli, Bangalore",Kammanahalli,Bangalore,Semi-Furnished,2,Bachelors,Immediately,1200 sqft,0,0,North - East,Main Road,"26,000",1,0,30 X 45 ft Sqft,0,0,0,0,0
"2 BHK House for Rent in Kammanahalli, Bangalore",Kammanahalli,Bangalore,Semi-Furnished,2,Bachelors,Immediately,1200 sqft,0,0,North - East,Main Road,"25,000",1,0,45 X 30 ft Sqft,0,0,0,0,0
"1 BHK House for Rent in Muneeshwara Nagar, Bangalore",Muneeshwara Nagar,Bangalore,Unfurnished,1,Bachelors/Family,Immediately,0,500 sqft,Ground out of 1,0,0,"8,000",0,0,0,0,0,0,0,0
"1 BHK House for Rent in Hennur Gardens, Bangalore",Hennur Gardens,Bangalore,Semi-Furnished,1,Bachelors/Family,Immediately,0,1000 sqft,0,North,"Garden/Park, Main Road","16,000",1,0,0,0,0,0,0,0
"2 BHK House for Rent in Gowdanapalya, Bangalore",Gowdanapalya,Bangalore,Unfurnished,2,Bachelors/Family,Immediately,0,1200 sqft,1 out of 4,0,0,"15,000",0,0,0,0,0,0,0,0
"2 BHK House for Rent in Udaya Nagar, Mahadevapura, Bangalore",Udaya Nagar,Bangalore,Unfurnished,2,Bachelors/Family,Immediately,0,1100 sqft,Ground out of 3,North,0,"23,000",1,0,0,0,0,0,0,0
"2 BHK House for Rent in Andrahalli, Bangalore",Andrahalli,Bangalore,Semi-Furnished,1,Bachelors/Family,Immediately,500 sqft,0,2 out of 3,North,0,"8,000",0,0,0,0,0,0,0,0
"2 BHK House for Rent in Kanaka Nagar-Nri Layout, NRI Layout, Bangalore",Kanaka Nagar-Nri Layout,Bangalore,Semi-Furnished,1,Bachelors/Family,Immediately,0,800 sqft,1 out of 2,0,0,"10,000",0,0,0,0,0,0,0,0
"2 BHK House for Rent in Palya, Bangalore",Palya,Bangalore,Unfurnished,2,Bachelors,Immediately,900 sqft,0,1 out of 4,East,Main Road,"25,000",1,0,40 X 30 ft Sqft,0,0,0,0,0
"3 BHK House for Rent in Karthik Nagar, Bangalore",Karthik Nagar,Bangalore,Furnished,2,Bachelors/Family,Immediately,0,1700 sqft,0,0,0,"22,000",0,0,0,0,0,0,0,0
"1 BHK House for Rent in Nandini Layout, Bangalore",Nandini Layout,Bangalore,Furnished,1,Bachelors/Family,Immediately,0,600 sqft,1 out of 3,0,0,"12,000",0,0,0,0,0,0,0,0
"2 BHK House for Rent in Block D AECS Layout, Bangalore",Block D AECS Layout,Bangalore,Semi-Furnished,2,Bachelors,Immediately,0,950 sqft,0,North,Main Road,"32,000",0,0,0,Same Premise,0,0,0,0
"1 BHK House for Rent in Shivaji Nagar, Bangalore",Shivaji Nagar,Bangalore,Semi-Furnished,1,Bachelors/Family,Immediately,0,105 sqft,Ground out of 3,0,0,"10,000",0,0,0,0,0,0,0,0
"3 BHK House for Rent in Sarjapura Attibele Road, Bangalore",Sarjapura Attibele Road,Bangalore,Furnished,3,Bachelors/Family,Immediately,0,2400 sqft,0,0,0,"45,000",0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
